job_title,salary_estimate,industry,sector,job_city,job_state,size,founded,type_of_ownership,revenue,seniority,seniority_level,avg_salary,avg_salary_predicted,final_salary,was_missing
Data Scientist,$53K-$91K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Albuquerque,NM,501 to 1000 employees,1973,Company - Private,$50 to $100 million (USD),unknown,0,72000,,72000,False
Healthcare Data Scientist,$63K-$112K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Linthicum,MD,10000+ employees,1984,Other Organization,$2 to $5 billion (USD),unknown,0,87500,,87500,False
Data Scientist,$80K-$90K (Glassdoor est.),Security Services,Business Services,Clearwater,FL,501 to 1000 employees,2010,Company - Private,$100 to $500 million (USD),unknown,0,85000,,85000,False
Data Scientist,$56K-$97K (Glassdoor est.),Energy,"Oil, Gas, Energy & Utilities",Richland,WA,1001 to 5000 employees,1965,Government,$500 million to $1 billion (USD),unknown,0,76500,,76500,False
Data Scientist,$86K-$143K (Glassdoor est.),Advertising & Marketing,Business Services,New York,NY,51 to 200 employees,1998,Company - Private,Unknown / Non-Applicable,unknown,0,114500,,114500,False
Data Scientist,$71K-$119K (Glassdoor est.),Real Estate,Real Estate,Dallas,TX,201 to 500 employees,2000,Company - Public,$1 to $2 billion (USD),unknown,0,95000,,95000,False
Data Scientist,$54K-$93K (Glassdoor est.),Banks & Credit Unions,Finance,Baltimore,MD,501 to 1000 employees,2008,Company - Private,Unknown / Non-Applicable,unknown,0,73500,,73500,False
Data Scientist,$86K-$142K (Glassdoor est.),Consulting,Business Services,San Jose,CA,201 to 500 employees,2005,Company - Private,$25 to $50 million (USD),unknown,0,114000,,114000,False
Research Scientist,$38K-$84K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Rochester,NY,10000+ employees,2014,Hospital,$500 million to $1 billion (USD),unknown,0,61000,,61000,False
Data Scientist,$120K-$160K (Glassdoor est.),Internet,Information Technology,New York,NY,51 to 200 employees,2009,Company - Private,$100 to $500 million (USD),unknown,0,140000,,140000,False
Data Scientist,$126K-$201K (Glassdoor est.),Other Retail Stores,Retail,San Jose,CA,501 to 1000 employees,2011,Company - Private,$1 to $2 billion (USD),unknown,0,163500,,163500,False
Data Scientist,$64K-$106K (Glassdoor est.),Research & Development,Business Services,Chantilly,VA,5001 to 10000 employees,1968,Company - Public,$1 to $2 billion (USD),unknown,0,85000,,85000,False
Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),"Department, Clothing, & Shoe Stores",Retail,Plano,TX,10000+ employees,1962,Company - Public,$10+ billion (USD),unknown,0,139000,,139000,False
Data Analyst,$46K-$85K (Glassdoor est.),Advertising & Marketing,Business Services,Seattle,WA,201 to 500 employees,2012,Company - Private,Unknown / Non-Applicable,unknown,0,65500,,65500,False
Data Scientist,$83K-$144K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1781,Company - Public,$10+ billion (USD),unknown,0,113500,,113500,False
Data Engineer I,$102K-$190K (Glassdoor est.),Motion Picture Production & Distribution,Media,Newark,NJ,1001 to 5000 employees,1995,Subsidiary or Business Segment,Unknown / Non-Applicable,unknown,0,146000,,146000,False
"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,51 to 200 employees,2011,Company - Public,$1 to $5 million (USD),unknown,0,102000,,102000,False
Customer Data Scientist,$118K-$189K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Mountain View,CA,201 to 500 employees,2011,Company - Private,Unknown / Non-Applicable,unknown,0,153500,,153500,False
Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,San Francisco,CA,51 to 200 employees,2010,Company - Private,Unknown / Non-Applicable,unknown,0,142500,,142500,False
Data Scientist,$64K-$111K (Glassdoor est.),Insurance Carriers,Insurance,Denver,CO,501 to 1000 employees,1915,Nonprofit Organization,$500 million to $1 billion (USD),unknown,0,87500,,87500,False
Data Scientist,$81K-$130K (Glassdoor est.),Internet,Information Technology,Seattle,WA,201 to 500 employees,2012,Company - Private,Unknown / Non-Applicable,unknown,0,105500,,105500,False
Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),Insurance Agencies & Brokerages,Insurance,Dallas,TX,201 to 500 employees,2013,Company - Private,Unknown / Non-Applicable,senior,3,96000,,96000,False
Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),Logistics & Supply Chain,Transportation & Logistics,Chicago,IL,501 to 1000 employees,1995,Company - Private,Unknown / Non-Applicable,unknown,0,112500,,112500,False
Data Scientist,$63K-$105K (Glassdoor est.),Logistics & Supply Chain,Transportation & Logistics,Louisville,KY,51 to 200 employees,1935,Nonprofit Organization,$10 to $25 million (USD),unknown,0,84000,,84000,False
Data Scientist,$109K-$177K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Herndon,VA,501 to 1000 employees,2012,Company - Private,$100 to $500 million (USD),unknown,0,143000,,143000,False
Digital Health Data Scientist,$63K-$110K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1849,Company - Public,$10+ billion (USD),unknown,0,86500,,86500,False
Data Scientist,$75K-$124K (Glassdoor est.),Banks & Credit Unions,Finance,Hillsboro,OR,1001 to 5000 employees,1952,Company - Private,$100 to $500 million (USD),unknown,0,99500,,99500,False
Associate Data Analyst,$34K-$61K (Glassdoor est.),Insurance Carriers,Insurance,Worcester,MA,5001 to 10000 employees,1852,Company - Public,$5 to $10 billion (USD),unknown,0,47500,,47500,False
Clinical Data Scientist,$63K-$105K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Groton,CT,10000+ employees,1849,Company - Public,$10+ billion (USD),unknown,0,84000,,84000,False
Data Scientist,$80K-$90K (Glassdoor est.),Security Services,Business Services,Clearwater,FL,501 to 1000 employees,2010,Company - Private,$100 to $500 million (USD),unknown,0,85000,,85000,False
Data Scientist,$56K-$97K (Glassdoor est.),Energy,"Oil, Gas, Energy & Utilities",Richland,WA,1001 to 5000 employees,1965,Government,$500 million to $1 billion (USD),unknown,0,76500,,76500,False
Data Scientist,$72K-$120K (Glassdoor est.),Real Estate,Real Estate,Detroit,MI,1001 to 5000 employees,1997,Company - Private,$500 million to $1 billion (USD),unknown,0,96000,,96000,False
Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1996,Company - Public,$10+ billion (USD),unknown,0,114500,,114500,False
Data Scientist,$93K-$149K (Glassdoor est.),Telecommunications Services,Telecommunications,Sunnyvale,CA,5001 to 10000 employees,1996,Company - Public,$2 to $5 billion (USD),unknown,0,121000,,121000,False
Data Scientist,$85K-$140K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Ipswich,MA,201 to 500 employees,1974,Company - Private,Unknown / Non-Applicable,unknown,0,112500,,112500,False
Web Data Analyst,$77K-$135K (Glassdoor est.),IT Services,Information Technology,San Jose,CA,201 to 500 employees,2008,Company - Private,Unknown / Non-Applicable,unknown,0,106000,,106000,False
Data Scientist,$82K-$132K (Glassdoor est.),Computer Hardware & Software,Information Technology,Redlands,CA,1001 to 5000 employees,1969,Company - Private,$1 to $2 billion (USD),unknown,0,107000,,107000,False
Data Scientist,$83K-$137K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Woburn,MA,201 to 500 employees,2010,Company - Private,$100 to $500 million (USD),unknown,0,110000,,110000,False
Senior Data Scientist,$115K-$180K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Fremont,CA,5001 to 10000 employees,1870,Company - Public,$1 to $2 billion (USD),senior,3,147500,,147500,False
Data Engineer,$74K-$138K (Glassdoor est.),Insurance Carriers,Insurance,Long Beach,NY,201 to 500 employees,1985,Company - Private,$100 to $500 million (USD),unknown,0,106000,,106000,False
Data Analyst,$64K-$112K (Glassdoor est.),IT Services,Information Technology,San Francisco,CA,201 to 500 employees,2008,Company - Private,$50 to $100 million (USD),unknown,0,88000,,88000,False
Data Engineer,$68K-$129K (Glassdoor est.),-1,-1,Marlborough,MA,1 to 50 employees,-1,Company - Private,Less than $1 million (USD),unknown,0,98500,,98500,False
Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,San Francisco,CA,51 to 200 employees,2010,Company - Private,Unknown / Non-Applicable,unknown,0,142500,,142500,False
Scientist,$52K-$113K (Glassdoor est.),Consumer Products Manufacturing,Manufacturing,Allendale,NJ,5001 to 10000 employees,2015,Company - Public,$2 to $5 billion (USD),unknown,0,82500,,82500,False
Senior Data Scientist,$110K-$150K(Employer est.),Real Estate,Real Estate,Chicago,IL,1001 to 5000 employees,1993,Company - Public,$2 to $5 billion (USD),senior,3,130000,,130000,False
Data Scientist,Employer Provided Salary:$150K-$160K,Enterprise Software & Network Solutions,Information Technology,Washington,DC,Unknown,-1,Company - Private,Unknown / Non-Applicable,unknown,0,155000,,155000,False
Lead Data Scientist,$158K-$211K (Glassdoor est.),IT Services,Information Technology,Bellevue,WA,10000+ employees,1958,Company - Public,$10+ billion (USD),lead,4,184500,,184500,False
Associate Data Analyst,$20K-$39K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Longmont,CO,5001 to 10000 employees,1986,Company - Private,$2 to $5 billion (USD),unknown,0,29500,,29500,False
Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Beavercreek,OH,501 to 1000 employees,1999,Company - Private,$100 to $500 million (USD),unknown,0,86500,,86500,False
College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),Industrial Manufacturing,Manufacturing,Peoria,IL,10000+ employees,1925,Company - Public,$10+ billion (USD),unknown,0,81000,,81000,False
Data Scientist,$68K-$114K (Glassdoor est.),Advertising & Marketing,Business Services,Fort Lauderdale,FL,501 to 1000 employees,1984,Subsidiary or Business Segment,Unknown / Non-Applicable,unknown,0,91000,,91000,False
"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),Insurance Carriers,Insurance,Boston,MA,10000+ employees,1912,Company - Private,$10+ billion (USD),unknown,0,114500,,114500,False
Data Science Analyst,$41K-$95K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Huntsville,AL,1001 to 5000 employees,2002,Company - Private,$100 to $500 million (USD),unknown,0,68000,,68000,False
Data Scientist,$86K-$144K (Glassdoor est.),Insurance Agencies & Brokerages,Insurance,Armonk,NY,10000+ employees,1863,Company - Public,$10+ billion (USD),unknown,0,115000,,115000,False
Data Scientist,$80K-$139K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,San Diego,CA,10000+ employees,1939,Company - Public,$10+ billion (USD),unknown,0,109500,,109500,False
Data Scientist,$56K-$95K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Albuquerque,NM,5001 to 10000 employees,1870,Company - Public,$1 to $2 billion (USD),unknown,0,75500,,75500,False
Data Scientist,$120K-$189K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,San Francisco,CA,501 to 1000 employees,2012,Company - Private,Unknown / Non-Applicable,unknown,0,154500,,154500,False
Data Scientist,$111K-$176K (Glassdoor est.),IT Services,Information Technology,Saint Louis,MO,51 to 200 employees,2016,Company - Private,Unknown / Non-Applicable,unknown,0,143500,,143500,False
Data Scientist,$54K-$93K (Glassdoor est.),Banks & Credit Unions,Finance,Baltimore,MD,501 to 1000 employees,2008,Company - Private,Unknown / Non-Applicable,unknown,0,73500,,73500,False
Data Scientist,$71K-$119K (Glassdoor est.),Real Estate,Real Estate,Dallas,TX,201 to 500 employees,2000,Company - Public,$1 to $2 billion (USD),unknown,0,95000,,95000,False
Senior Data Scientist,$82K-$132K (Glassdoor est.),Metals Brokers,Mining & Metals,Cincinnati,OH,201 to 500 employees,1885,Subsidiary or Business Segment,Unknown / Non-Applicable,senior,3,107000,,107000,False
Data Scientist,$84K-$146K (Glassdoor est.),Consulting,Business Services,New York,NY,201 to 500 employees,2011,Company - Private,$10 to $25 million (USD),unknown,0,115000,,115000,False
